"UniqueID","SiteName","Prov","Prov_2","Year","Month","Day","DateObserved","Month_alpha","Observer_anon","Observer_contact_anon","Lat","Long","Source_anon","Source_type","SpeciesAlphaCode","CommonName","LatinName","GroupAs","Individual_HPAIVstatus","AgeClass","BreedingStatus","LandWater","Colony_Y_N","IFcolony_complete_partial_survey","IFcolony_boat_foot_heli_plane","n_FoundNeurological","n_FoundDead","TotalObserved","Comments","id","concatenated_ids_eccc","concatenated_ids_trevor","concatenated_ids_cwhc","concatenated_ids_cfia","Duplicate"
"MT-2104","Off Cape St. Mary's by boat (no coordinates)","NL","Newfoundland",2022,7,10,2022-07-10,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.816,-54.202,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"2","2","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,NA
"MT-246","Pasadena","NL","Newfoundland",2022,5,21,2022-05-21,"May","a78b42869e866cfc3f43d754f6022ff0","1b1f1fdf53e06c6ef4eb422178e04c31",48.99,-57.72,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,"1","0","1","Was called in to Provincial Wildlife",NA,NA,NA,NA,NA,NA
"MT-247","Lord's Cove","NL","Newfoundland",2022,5,22,2022-05-22,"May","a78b42869e866cfc3f43d754f6022ff0","1b1f1fdf53e06c6ef4eb422178e04c31",46.88,-55.66,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,"1","0","1","Reported on Facebook",NA,NA,NA,NA,NA,NA
"MT-249","Holyrood","NL","Newfoundland",2022,5,25,2022-05-25,"May","a78b42869e866cfc3f43d754f6022ff0","1b1f1fdf53e06c6ef4eb422178e04c31",47.39,-53.13,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds","Negative",NA,NA,"Land",NA,NA,NA,"1","1","2","Tested negative",NA,NA,NA,NA,NA,NA
"MT-6944","Cape Freels, New-Wes-Valley, Newfoundland, Newfoundland and Labrador, Canada","NL","Newfoundland",2022,8,5,2022-08-05,"August","74ebffaaed3cfca23dc088a62f2fccd6","c63e6fb909b78d12c1552ebb5c88c71c",49.2336346,-53.5157458,"04e0acf547c8b38b960b88a61c994b46","CWHC","COMU","Common Murre","Uria aalge","seabirds","positive","Missing","Missing",NA,NA,NA,NA,NA,NA,"1",NA,"see concatenated_ids fields",NA,"AIV-2021-SK-00273,NA,NA,NA",NA,NA,NA
"MT-252","Offshore near Rocky Harbour","NL","Newfoundland",2022,5,27,2022-05-27,"May","a78b42869e866cfc3f43d754f6022ff0","1b1f1fdf53e06c6ef4eb422178e04c31",49.59,-57.96,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Water",NA,NA,NA,NA,"16","16","Some uncertainty re. coords since report was of birds seen offshore but vicinity of Rocky Harbour; Report from Sherry Pittman (ECCC-WED) from fisherman John Decker",NA,NA,NA,NA,NA,NA
"MT-6948","Main Street, Deadman's Bay, Newfoundland, Newfoundland and Labrador, Canada","NL","Newfoundland",2022,8,25,2022-08-25,"August","74ebffaaed3cfca23dc088a62f2fccd6","c63e6fb909b78d12c1552ebb5c88c71c",49.345484,-53.700263,"04e0acf547c8b38b960b88a61c994b46","CWHC","COMU","Common Murre","Uria aalge","seabirds","positive","Missing","Missing",NA,NA,NA,NA,NA,NA,"1",NA,"see concatenated_ids fields",NA,"AIV-2021-SK-00350,NA,NA,NA",NA,NA,NA
"MT-6954","Main Street, Deadman's Bay, Newfoundland, Newfoundland and Labrador, Canada","NL","Newfoundland",2022,8,4,2022-08-04,"August","74ebffaaed3cfca23dc088a62f2fccd6","c63e6fb909b78d12c1552ebb5c88c71c",49.345484,-53.700263,"04e0acf547c8b38b960b88a61c994b46","CWHC","COMU","Common Murre","Uria aalge","seabirds","positive","Missing","Missing",NA,NA,NA,NA,NA,NA,"1",NA,"see concatenated_ids fields",NA,"AIV-2021-SK-00358,NA,NA,NA",NA,NA,NA
"MT-253","Offshore Sally's Cove","NL","Newfoundland",2022,5,27,2022-05-27,"May","a78b42869e866cfc3f43d754f6022ff0","1b1f1fdf53e06c6ef4eb422178e04c31",49.74,-57.93,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Water",NA,NA,NA,"1","0","1","Some uncertainty re. coordinates; Report from Sherry Pittman (ECCC-WED) from fisherman Freeman Gill who reported ""many dead off Sally’s Cove and several sick with their heads bobbing"" and at least one seen alive and suspected later dead in small pond near Sally's Cove; Sherry noted that BAEA nest near pond where one dead NOGA was observed",NA,NA,NA,NA,NA,NA
"MT-254","Flat Bay","NL","Newfoundland",2022,5,27,2022-05-27,"May","a78b42869e866cfc3f43d754f6022ff0","1b1f1fdf53e06c6ef4eb422178e04c31",48.42,-58.58,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"27","27","Report from River Guardian to Sherry Pittman",NA,NA,NA,NA,NA,NA
"MT-258","Black Bank Beach (Stephenville Crossing)","NL","Newfoundland",2022,5,30,2022-05-30,"May","a78b42869e866cfc3f43d754f6022ff0","1b1f1fdf53e06c6ef4eb422178e04c31",48.5,-58.4,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"12","12","Reported to Dylan Decker, ECCC WED; WED may collect samples; coordinates estimated (could not find black bank beach)",NA,NA,NA,NA,NA,NA
"MT-274","Point May","NL","Newfoundland",2022,7,8,2022-07-08,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.899622,-55.937704,"d964586e64933d008f84b9451c2a97ed",NA,"RAZO","Razorbill","Alca torda","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"5","5","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,NA
"MT-275","Point May","NL","Newfoundland",2022,7,8,2022-07-08,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.899622,-55.937704,"d964586e64933d008f84b9451c2a97ed",NA,"HERG","Herring Gull","Larus argentatus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,NA
"MT-707","Point La Haye, NL","NL","Newfoundland",2022,7,19,2022-07-19,"July","27c618c3ccbf392733427ac7bd51b3d6","b0c8987e33d25c0e50c87ef5a7b5bacd",46.89214,-53.5977,"27c618c3ccbf392733427ac7bd51b3d6","ECCC","COMU","Common Murre","Uria aalge","seabirds",NA,"Fledgling",NA,"Land",NA,NA,NA,NA,"1","1","Point L Haye Summary - Sabina W.; conducted by CWS",NA,NA,NA,NA,NA,"unique"
"MT-276","Point May","NL","Newfoundland",2022,7,8,2022-07-08,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.899622,-55.937704,"d964586e64933d008f84b9451c2a97ed",NA,"GBBG","Great Black-backed Gull","Larus marinus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"2","2","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,NA
"MT-283","Point La Haye","NL","Newfoundland",2022,7,12,2022-07-12,"July","a78b42869e866cfc3f43d754f6022ff0","1b1f1fdf53e06c6ef4eb422178e04c31",46.892143,-53.597749,"d964586e64933d008f84b9451c2a97ed",NA,"BLKI","Black-legged Kittiwake","Rissa tridactyla","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1","""Reports of dead murres (+ gannet and kittiwake) at Point La Haye this
morning."". Bill Montevecchi - second hand",NA,NA,NA,NA,NA,"possible"
"MT-748","Back Beach, Lumsden","NL","Newfoundland",2022,7,21,2022-07-21,"July","ef05da2f431970e26aa310e4b31656ac","95edf1799fbb5ba6aecaf9cacbe92bc5",49.31345,-53.6237,"df5f3ae234ec98b8589a82d9bffd6182","Provincial","COMU","Common Murre","Uria aalge","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA
"MT-284","Point La Haye","NL","Newfoundland",2022,7,12,2022-07-12,"July","a78b42869e866cfc3f43d754f6022ff0","1b1f1fdf53e06c6ef4eb422178e04c31",46.892143,-53.597749,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1","""Reports of dead murres (+ gannet and kittiwake) at Point La Haye this
morning."" Bill Montevecchi - second hand",NA,NA,NA,NA,NA,"possible"
"MT-286","Branch","NL","Newfoundland",2022,7,13,2022-07-13,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.882552,-53.947025,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"2","2","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,NA
"MT-287","Branch","NL","Newfoundland",2022,7,13,2022-07-13,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.882552,-53.947025,"d964586e64933d008f84b9451c2a97ed",NA,"RAZO","Razorbill","Alca torda","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,NA
"MT-289","Point La Haye","NL","Newfoundland",2022,7,14,2022-07-14,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.892143,-53.597749,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"4","4","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,NA
"MT-291","Point La Haye","NL","Newfoundland",2022,7,14,2022-07-14,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.892143,-53.597749,"d964586e64933d008f84b9451c2a97ed",NA,"GRSH","Great Shearwater","Ardenna gravis","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,NA
"MT-292","Point Lance","NL","Newfoundland",2022,7,14,2022-07-14,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.809459,-54.08,"d964586e64933d008f84b9451c2a97ed",NA,"NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"2","2","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,"unique"
"MT-294","Point Lance","NL","Newfoundland",2022,7,14,2022-07-14,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.809459,-54.08,"d964586e64933d008f84b9451c2a97ed",NA,"RAZO","Razorbill","Alca torda","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,"unique"
"MT-295","Point Lance","NL","Newfoundland",2022,7,14,2022-07-14,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.809459,-54.08,"d964586e64933d008f84b9451c2a97ed",NA,"DOVE","Dovekie","Alle alle","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,NA
"MT-285","Branch","NL","Newfoundland",2022,7,13,2022-07-13,"July","a78b42869e866cfc3f43d754f6022ff0","b0c8987e33d25c0e50c87ef5a7b5bacd",46.882552,-53.947025,"d964586e64933d008f84b9451c2a97ed",NA,"COMU","Common Murre","Uria aalge","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"18","18","Observer Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",NA,NA,NA,NA,NA,NA
