UniqueID,SiteName,Prov,Prov_2,Year,Month,Day,DateObserved,Month_alpha,Observer,Observer_anon,Observer_contact,Observer_contact_anon,Lat,Long,Source,Source_anon,SpeciesAlphaCode,Source_type,CommonName,LatinName,GroupAs,SpeciesGroup,Species_HPAIstatus,Individual_HPAIVstatus,AgeClass,BreedingStatus,LandWater,Colony_Y_N,IFcolony_complete_partial_survey,IFcolony_boat_foot_heli_plane,n_FoundNeurological,n_FoundDead,TotalObserved,Comments,id,concatenated_ids_eccc,concatenated_ids_trevor,concatenated_ids_cwhc,concatenated_ids_cfia,Species_HPAIstatus_DateApplicable,Region,Complete_Mortality_Dataset,HPAI_Mortality_Dataset_Baseline,Double_Count_Analysis_Dataset,Scenario_A_0day_1km,Scenario_B_1day_1km,Scenario_C_5day_1km,Scenario_D_0day_5km,Scenario_E_5day_5km,Scenario_F_1day_5km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-40,Tobacco Island,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,45.01595,-61.9145,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 2,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-41,Little White Island,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,44.89379,-62.0994,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 2,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-42,Big White Island - Round Island,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,44.8845208,-62.1361227,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 2,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-44,Camp Island,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,44.8824574,-62.1551897,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 2,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-45,LIttle Halibut Island,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,44.90169,-62.2003,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 2,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-46,Middle Halibut Island,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,44.89849,-62.1995,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 2,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-47,Bird Islands (Inner East) ,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,44.8676752,-62.2811399,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 2,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-50,Horse Island Ledges,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,44.8365762,-62.3550823,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 2,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-51,"Brother Islands, West",NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,44.8239295,-62.3605026,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 2,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-52,"Pumpkin Island, Halifax",NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,44.8210427,-62.3805842,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 2,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-55,Western Island (Western Sugar),NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,45.2164136,-61.276503,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 3,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-56,Country Island,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,45.10174,-61.5427,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 3,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-59,Bird Islands (Outer East),NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,44.8687721,-62.279046,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 2,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-61,Passage Island (Middle Sugar),NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,45.2189106,-61.2720727,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 4,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-6147,Corossol Is. MBS,QC,QC,2022,5,30,2022-05-30,May,,fb3eaff23fb8dcac675cc21e2b2901e5,,f4523f06d2c9aff006da19a8b60b452f,50.09,-66.3855556,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Partial,Foot,,1,1,"Found 5 COEI, 5 DCCO, 1 RAZO eaten by predators (foxes and minks present), as well as many predated eggs - INCLUDED IN TOTAL OBSERVED COUNT. Estimated number of breeding pairs: DCCO (474), COEI (4), HERG (104), GBBG (232), BLKI (12), COMU (2763), RAZO (3499), BLGU (58), ATPU (1)",,,,,,2022-04-01 to 2022-09-30,North Shore,retain,retain,retain,retain,exclude,exclude,retain,exclude,exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-6151, Île à Calculot des Betchouanes,QC,QC,2022,6,6,2022-06-06,June,,fb3eaff23fb8dcac675cc21e2b2901e5,,f4523f06d2c9aff006da19a8b60b452f,50.1975,-63.2075,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,Female,Land,Y,Complete survey; all seabirds,Foot,,6,6,"Found 6 female COEI, 3 RAZO, 1 GUMI eaten by predators (HPAI was not suspected at this moment, except for the ill GBBG)
 - INCLUDED in TOTAL OBSERVED. COEI (526), HERG (538), GBBG (90), BLKI (144), COMU (896), RAZO (1202), ATPU (832), Terns sp.(20)",,,,,,2022-04-01 to 2022-09-30,North Shore,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-6156,Watshishou MBS,QC,QC,2022,6,1,2022-06-01,June,,fb3eaff23fb8dcac675cc21e2b2901e5,,f4523f06d2c9aff006da19a8b60b452f,50.25,-62.5,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Partial,Foot,,7,7,"6 COEI, 1 gull sp.,  eaten by predator (foxes present), as well as many predated eggs
 - INCLUDED IN COUNT. DCCO (1252), COEI (7638), RBGU (130), HERG (482), GBBG (126), RAZO (32), BLGU (5), Terns sp. (65)",,,,,,2022-04-01 to 2022-09-30,North Shore,retain,retain,retain,retain,exclude,exclude,retain,exclude,exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
