OBJECTID,COL_LATDEC,COL_LONDEC,COLNAME,BLOCKNUMBE,COLONY_ID,MAX_COUNT,SPECIES_CO,XLATDEC,XLONDEC,POPMAXCOUN,COLIMPORTA,FIFTY_THOU,UTM_E,UTM_N,UTM_Z,ID_POPULAT,IBA_IMPORT,BufDistanc
19,     48.04040000000,    -65.18820000000,Paspébiac (Paspébiac-Shigawake),      0.00000000000,12,     40.00000000000,GBBG,     48.04040000000,    -65.18820000000, 147252.00000000000,      0.00027000000,22A03,      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00022000000,0
20,     48.04040000000,    -65.18820000000,Paspébiac (Paspébiac-Shigawake),      0.00000000000,12,     10.00000000000,RAZO,     48.04040000000,    -65.18820000000,  87882.00000000000,      0.00011000000,22A03,      0.00000000000,      0.00000000000,      0.00000000000,  76000.00000000000,      0.00013000000,0
21,     48.03540000000,    -65.21630000000,Pointe aux Corbeaux,      0.00000000000,13,    212.00000000000,DCCO,     48.03540000000,    -65.21630000000, 221715.00000000000,      0.00096000000,22A03,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00015000000,0
22,     48.04090000000,    -65.18960000000,Pointe Huntington,      0.00000000000,14,     68.00000000000,DCCO,     48.04090000000,    -65.18960000000, 221715.00000000000,      0.00031000000,22A03,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00005000000,0
23,     48.05240000000,    -65.15220000000,Pointe à Ritchie,      0.00000000000,15,    562.00000000000,DCCO,     48.05240000000,    -65.15220000000, 221715.00000000000,      0.00253000000,22A03,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00040000000,0
24,     48.05240000000,    -65.15220000000,Pointe à Ritchie,      0.00000000000,15,    112.00000000000,BLKI,     48.05240000000,    -65.15220000000, 336755.00000000000,      0.00033000000,22A03,      0.00000000000,      0.00000000000,      0.00000000000, 900000.00000000000,      0.00012000000,0
25,     48.08220000000,    -65.09890000000,Saint-Godefroi,      0.00000000000,16,    810.00000000000,BLKI,     48.08220000000,    -65.09890000000, 336755.00000000000,      0.00241000000,22A03,      0.00000000000,      0.00000000000,      0.00000000000, 900000.00000000000,      0.00090000000,0
26,     48.08220000000,    -65.09890000000,Saint-Godefroi,      0.00000000000,16,    500.00000000000,DCCO,     48.08220000000,    -65.09890000000, 221715.00000000000,      0.00226000000,22A03,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00036000000,0
27,     48.08220000000,    -65.09890000000,Saint-Godefroi,      0.00000000000,16,      6.00000000000,GRCO,     48.08220000000,    -65.09890000000,  24420.00000000000,      0.00025000000,22A03,      0.00000000000,      0.00000000000,      0.00000000000,  17000.00000000000,      0.00035000000,0
28,     48.23830000000,    -64.76610000000,Shigawake (Shigawake-Chandler),      0.00000000000,17,    906.00000000000,HERG,     48.23830000000,    -64.76610000000, 500778.00000000000,      0.00181000000,"22A03, 22A02, 22A07",      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.00245000000,0
29,     48.23830000000,    -64.76610000000,Shigawake (Shigawake-Chandler),      0.00000000000,17,    472.00000000000,BLGU,     48.23830000000,    -64.76610000000,  42569.00000000000,      0.01109000000,"22A03, 22A02, 22A07",      0.00000000000,      0.00000000000,      0.00000000000, 230000.00000000000,      0.00205000000,0
30,     48.23830000000,    -64.76610000000,Shigawake (Shigawake-Chandler),      0.00000000000,17,     17.00000000000,RAZO,     48.23830000000,    -64.76610000000,  87882.00000000000,      0.00019000000,"22A03, 22A02, 22A07",      0.00000000000,      0.00000000000,      0.00000000000,  76000.00000000000,      0.00022000000,0
31,     48.23830000000,    -64.76610000000,Shigawake (Shigawake-Chandler),      0.00000000000,17,     16.00000000000,DCCO,     48.23830000000,    -64.76610000000, 221715.00000000000,      0.00007000000,"22A03, 22A02, 22A07",      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00001000000,0
32,     48.23830000000,    -64.76610000000,Shigawake (Shigawake-Chandler),      0.00000000000,17,      8.00000000000,GBBG,     48.23830000000,    -64.76610000000, 147252.00000000000,      0.00005000000,"22A03, 22A02, 22A07",      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00004000000,0
33,     48.23830000000,    -64.76610000000,Shigawake (Shigawake-Chandler),      0.00000000000,17,      6.00000000000,BLKI,     48.23830000000,    -64.76610000000, 336755.00000000000,      0.00002000000,"22A03, 22A02, 22A07",      0.00000000000,      0.00000000000,      0.00000000000, 900000.00000000000,      0.00001000000,0
34,     48.23830000000,    -64.76610000000,Shigawake (Shigawake-Chandler),      0.00000000000,17,      6.00000000000,COEI,     48.23830000000,    -64.76610000000, 184863.00000000000,      0.00003000000,"22A03, 22A02, 22A07",      0.00000000000,      0.00000000000,      0.00000000000, 322000.00000000000,      0.00002000000,0
35,     48.23830000000,    -64.76610000000,Shigawake (Shigawake-Chandler),      0.00000000000,17,      4.00000000000,COMU,     48.23830000000,    -64.76610000000,1264411.00000000000,      0.00000000000,"22A03, 22A02, 22A07",      0.00000000000,      0.00000000000,      0.00000000000, 998931.00000000000,      0.00000000000,0
36,     48.13770000000,    -64.98310000000,Colline de Port-Daniel,      0.00000000000,18,    100.00000000000,DCCO,     48.13770000000,    -64.98310000000, 221715.00000000000,      0.00045000000,22A02,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00007000000,0
37,     48.13770000000,    -64.98310000000,Colline de Port-Daniel,      0.00000000000,18,     30.00000000000,BLKI,     48.13770000000,    -64.98310000000, 336755.00000000000,      0.00009000000,22A02,      0.00000000000,      0.00000000000,      0.00000000000, 900000.00000000000,      0.00003000000,0
38,     48.18020000000,    -64.93190000000,La Vieille,      0.00000000000,19,    648.00000000000,BLKI,     48.18020000000,    -64.93190000000, 336755.00000000000,      0.00192000000,22A02,      0.00000000000,      0.00000000000,      0.00000000000, 900000.00000000000,      0.00072000000,0
39,     48.18020000000,    -64.93190000000,La Vieille,      0.00000000000,19,    346.00000000000,DCCO,     48.18020000000,    -64.93190000000, 221715.00000000000,      0.00156000000,22A02,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00025000000,0
40,     48.18840000000,    -64.87710000000,Gascons-Ouest,      0.00000000000,20,    242.00000000000,BLKI,     48.18840000000,    -64.87710000000, 336755.00000000000,      0.00072000000,22A02,      0.00000000000,      0.00000000000,      0.00000000000, 900000.00000000000,      0.00027000000,0
